detector,dataset,f1,f1_pa_auc,f1_pa,f1_pa_ts_auc,aucpr,aucroc,time
dwtmlead,rogue_agent_key_updown.csv,0.18069815195055428,0.0,0.0,0.0,0.04966139954853273,0.4615705931495405,3.655485622002743
dwtmlead,speed_7578.csv,0.33663366336605666,0.419,0.5,0.44282178217821777,0.6605876393110436,0.6011904761904762,0.8686855190026108
dwtmlead,TravelTime_387.csv,0.41666666666617636,0.0,0.8367346938775511,0.5636904761904762,0.19349169979738623,0.6531907784831272,1.7866893059981521
dwtmlead,Twitter_volume_AAPL.csv,0.22508792497019425,0.33897945347715086,0.9635036496350364,0.06584960108640299,0.15243937113345563,0.5978260433588032,7.7188557389890775
dwtmlead,Twitter_volume_AMZN.csv,0.30914231856700713,0.43635486761917014,0.9627367135003055,0.3453004479248344,0.3956212974822109,0.5964020136503217,7.312833380012307
dwtmlead,Twitter_volume_CRM.csv,0.8900255754470764,0.8791375429451486,1.0,0.7035564853556485,0.9356174241942323,0.9970648307307611,7.8874197590048425
dwtmlead,Twitter_volume_CVS.csv,0.24591738712729036,0.36278116280394046,0.9383886255924171,0.05115105711481017,0.1443889851800595,0.6259605080146842,7.589989069994772
dwtmlead,Twitter_volume_FB.csv,0.18146319053618504,0.21708445822678218,1.0,0.06432160804020101,0.13794009511774605,0.5193683141130272,7.673211248998996
dwtmlead,Twitter_volume_IBM.csv,0.6708941027261962,0.7805784510679878,1.0,0.3196145124716553,0.7061120108711111,0.8200873776869088,7.858546016010223
dwtmlead,Twitter_volume_KO.csv,0.4061810154521921,0.5498629683758831,1.0,0.36857577769509453,0.4277701247145105,0.6012904702042255,6.947957902011694
dwtmlead,Twitter_volume_PFE.csv,0.1224489795913969,0.15201105974856355,0.9565217391304348,0.0652572796170722,0.10121364615619133,0.5325932898613106,7.111236914002802
dwtmlead,Twitter_volume_UPS.csv,0.20143884892037267,0.2763213981244672,0.9575757575757576,0.069717868338558,0.148618286043075,0.5762788266751754,7.141718386992579
vae,exchange-2_cpm_results.csv,0.24343675417630206,0.3158749145591251,0.9467455621301775,0.08909551986475062,0.145470166134248,0.5977459016393443,5.431382377020782
vae,exchange-3_cpc_results.csv,0.6890756302516136,0.755429025423729,1.0,0.7079710144927536,0.7312375052211135,0.9042280945757997,5.4387818580144085
vae,exchange-4_cpc_results.csv,0.6813186813181987,0.8210526315789475,1.0,0.7140000000000002,0.768393537198746,0.9581163194444445,2.293043117009802
vae,exchange-4_cpm_results.csv,0.9419354838704682,0.9818008208666382,1.0,0.9857824090427411,0.988573071604364,0.9986185983827494,2.332684666995192
vae,ec2_cpu_utilization_5f5533.csv,0.18248175182465168,0.1824402749136314,0.9803921568627451,0.11088007295941629,0.11927207803485129,0.4341161894273128,3.714827502000844
vae,ec2_cpu_utilization_53ea38.csv,0.7220447284340433,0.8730769230769231,1.0,0.8042372881355933,0.6766074146091076,0.7488738986784143,3.626623538992135
vae,ec2_cpu_utilization_fe7f93.csv,0.34285714285665875,0.44109718354785044,0.6666666666666666,0.33993399339933994,0.3542816801331755,0.6062045322586154,3.7000783599796705
vae,ec2_disk_write_bytes_c0d644.csv,0.33374844333703974,0.33364456231774237,0.34625322997416025,0.026177358232767116,0.12286938588648125,0.3965534171249019,3.514180750004016
vae,elb_request_count_8c0756.csv,0.8700564971746496,0.9667138810198299,1.0,0.932089552238806,0.9218450593251344,0.9875633259911895,3.6165122899983544
vae,grok_asg_anomaly.csv,0.1693861693859587,0.21541409216370333,0.7979274611398964,0.048050879494763055,0.0774895134815976,0.5968757714237547,3.972709374007536
vae,rds_cpu_utilization_e47b3b.csv,0.20978029766098988,0.25718575936940996,0.3410059676044331,0.02094773427765755,0.08028409881719716,0.41465033039647575,3.47242831098265
vae,machine_temperature_system_failure.csv,0.7188473520244291,0.7828382997159548,0.9589157136806438,0.6446973673741229,0.7884485395912277,0.9631295293740021,16.184626456990372
vae,rogue_agent_key_hold.csv,0.2530282637952029,0.2529105433280247,0.25474254742547425,0.021547019179619927,0.07665137032616626,0.34936823331407474,2.0451115860196296
vae,rogue_agent_key_updown.csv,0.19086826347287578,0.19660391475936645,0.353887399463807,0.02232475177660221,0.06358599397334501,0.26956912483228274,4.4907655580027495
vae,speed_7578.csv,0.6871165644166783,0.6867113534802695,0.8275862068965517,0.6639781804013247,0.697714814407745,0.9242807539682539,1.9093627620022744
vae,TravelTime_387.csv,0.30943396226388936,0.3092741734137033,0.5046153846153847,0.08578853815507206,0.13172801439707582,0.7932885065152021,2.844086114986567
vae,Twitter_volume_AAPL.csv,0.623417721518557,0.6254291857572244,0.8139773895169579,0.12563264431028498,0.3453001514293468,0.9581008630313727,11.242246348003391
vae,Twitter_volume_AMZN.csv,0.6823104693135806,0.7943841748213772,0.9052268811028145,0.41890389251823745,0.5218913985919794,0.9506984680419536,11.722303243004717
vae,Twitter_volume_CRM.csv,0.9999999999995,0.9999280575539569,1.0,0.9855905511811023,1.0,1.0,11.357612927997252
vae,Twitter_volume_CVS.csv,0.8912529550822442,0.9143236310154941,1.0,0.9293626707132019,0.9594063876752719,0.9977715006927594,11.44984901198768
vae,Twitter_volume_FB.csv,0.7626865671636952,0.9009590648022616,1.0,0.8579933388842631,0.7478662034388681,0.8564302625245767,11.44941321000806
vae,Twitter_volume_IBM.csv,0.8314937454005443,0.9576583210603828,1.0,0.9270167427701674,0.8020806616148924,0.8700564593742881,11.65198498099926
vae,Twitter_volume_KO.csv,0.9017580144772706,0.9635750913388896,1.0,0.9425184832822212,0.9601254346358371,0.9914707941864055,11.2160541129997
vae,Twitter_volume_PFE.csv,0.4248039914464943,0.5016562900054267,0.7734374999999999,0.13352815336611196,0.22285216057221974,0.9125725595259647,11.35712932702154
vae,Twitter_volume_UPS.csv,0.24150058616616946,0.3103756766183937,0.9546827794561934,0.05865367920269473,0.09635974899558612,0.7394938536883686,11.2542981459992
tranad,exchange-2_cpm_results.csv,0.21635883904979886,0.2886509202298676,0.5673758865248227,0.037728400237571194,0.08448692801344086,0.4384050546448087,4.13075136297266
tranad,exchange-3_cpc_results.csv,0.3488372093018388,0.4536703937773457,0.9174311926605504,0.13780704350399528,0.18184047214460997,0.7099860917941586,4.59970848399098
tranad,exchange-4_cpc_results.csv,0.786516853932107,0.9204545454545455,1.0,0.8644578313253011,0.7326267703492043,0.8505015432098765,3.9652146860025823
tranad,exchange-4_cpm_results.csv,0.9677419354833714,0.9948261416003352,1.0,0.9857824090427411,0.9949670997527694,0.9994103773584906,3.844228679983644
tranad,ec2_cpu_utilization_5f5533.csv,0.2530120481924861,0.3097904105656044,0.9803921568627451,0.11088007295941629,0.17294441063396626,0.6193337004405286,9.820386697014328
tranad,ec2_cpu_utilization_53ea38.csv,0.18050541516229063,0.1804643430499303,0.4110996916752313,0.025458210390213183,0.05546893151098015,0.15394823788546258,9.705623422982171
tranad,ec2_cpu_utilization_fe7f93.csv,0.34666666666618495,0.4456473322358865,0.6666666666666666,0.33993399339933994,0.36318222803752676,0.6405337443218689,9.975433340994641
tranad,ec2_disk_write_bytes_c0d644.csv,0.3418367346934276,0.3417308494278937,0.34670116429495473,0.02915465386015987,0.12350652408307358,0.39709774924006974,9.288820226007374
tranad,elb_request_count_8c0756.csv,0.8636363636358729,0.965099715099715,1.0,0.932089552238806,0.9192475418774734,0.987260462555066,8.843081467988668
tranad,grok_asg_anomaly.csv,0.18365472910903174,0.23884795880294374,0.77,0.061391566265060246,0.07186736791970308,0.5623069559091813,10.945345234998967
tranad,rds_cpu_utilization_e47b3b.csv,0.20253164556935385,0.26499874360542575,0.3194888178913738,0.02137728449646443,0.07479053704983107,0.36652533039647583,9.81564580500708
tranad,machine_temperature_system_failure.csv,0.7183482664584084,0.7828133259877097,0.9355371900826446,0.6565645974599137,0.8059382609957542,0.9729042608974768,50.313954780984204
tranad,rogue_agent_key_hold.csv,0.25578231292494696,0.255663497006432,0.25578231292517006,0.254943746729461,0.07719511259133804,0.3541912632821723,3.924973033979768
tranad,rogue_agent_key_updown.csv,0.2136786726019945,0.21364251225142833,0.2936596218020022,0.02331374033734216,0.07501289729310212,0.3706251107566897,11.72720299998764
tranad,speed_7578.csv,0.8350515463912614,0.849225428052918,0.9081081081081082,0.7304412838219174,0.8321647726476925,0.9749503968253967,3.660815540002659
tranad,TravelTime_387.csv,0.3697478991592354,0.49599943187198187,0.9647058823529412,0.18823529411764708,0.29278244134023784,0.8734338456398263,5.598876717995154
tranad,Twitter_volume_AAPL.csv,0.6201923076918745,0.6295223093897909,0.8139773895169579,0.12563264431028498,0.3469943078808964,0.9584194024961727,87.60388064701692
tranad,Twitter_volume_AMZN.csv,0.6670602125142603,0.7663426762019268,0.870718232044199,0.5522370868769954,0.4852121845688711,0.9443988674107118,56.152724206011044
tranad,Twitter_volume_CRM.csv,0.9999999999995,0.9999280575539569,1.0,0.9855905511811023,1.0,1.0,50.73632413800806
tranad,Twitter_volume_CVS.csv,0.8361204013372995,0.8613489145658262,0.9439809296781884,0.33237870257798074,0.6691188028457018,0.9899432513959138,53.9961824399943
tranad,Twitter_volume_FB.csv,0.7378048780483014,0.8926289766443303,1.0,0.8579933388842631,0.7151813633654086,0.8020229720105216,50.516047076001996
tranad,Twitter_volume_IBM.csv,0.8391812865492205,0.959583028529627,1.0,0.9270167427701674,0.8140880607789848,0.8938665533229967,50.59895531198708
tranad,Twitter_volume_KO.csv,0.8318584070791601,0.9126132292546529,1.0,0.9079681707028477,0.9310692375650426,0.9862449550086012,52.91007572499802
